date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:45	108202/108202	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:41%20GMT	https://www.train-motion.com/shop/page/8/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/8/index0990.html	(from https://www.train-motion.com/shop/page/9/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz)
12:30:47	108257/108257	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:43%20GMT	https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz&add-to-cart=22536	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/10/index0b15.html	(from https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz)
12:30:49	108253/108253	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:45%20GMT	https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz&add-to-cart=22502	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/10/indexd4e7.html	(from https://www.train-motion.com/shop/page/10/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz)
12:30:50	104532/104532	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:47%20GMT	https://www.train-motion.com/shop/page/11/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz&add-to-cart=21788	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/11/indexa436.html	(from https://www.train-motion.com/shop/page/11/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz)
12:30:53	108706/108706	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:49%20GMT	https://www.train-motion.com/shop/page/2/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=24432	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/2/index317c.html	(from https://www.train-motion.com/shop/page/2/?filter_operator=cd&filter_traincar-type=compartiment)
12:30:55	108702/108702	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:51%20GMT	https://www.train-motion.com/shop/page/2/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=24434	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/2/index58d4.html	(from https://www.train-motion.com/shop/page/2/?filter_operator=cd&filter_traincar-type=compartiment)
12:30:58	108238/108238	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:54%20GMT	https://www.train-motion.com/shop/page/5/?filter_operator=cd&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/5/index5ad1.html	(from https://www.train-motion.com/shop/page/2/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:00	108381/108381	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:56%20GMT	https://www.train-motion.com/shop/page/3/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=24353	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/3/index47ab.html	(from https://www.train-motion.com/shop/page/3/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:03	108382/108382	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:30:59%20GMT	https://www.train-motion.com/shop/page/3/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=24325	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/3/index71fc.html	(from https://www.train-motion.com/shop/page/3/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:06	108223/108223	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:02%20GMT	https://www.train-motion.com/shop/page/6/?filter_operator=cd&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/6/index5ad1.html	(from https://www.train-motion.com/shop/page/3/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:09	108507/108507	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:05%20GMT	https://www.train-motion.com/shop/page/4/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=24297	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/4/indexae1f.html	(from https://www.train-motion.com/shop/page/4/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:12	108505/108505	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:08%20GMT	https://www.train-motion.com/shop/page/4/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=24270	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/4/indexfbe8.html	(from https://www.train-motion.com/shop/page/4/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:14	108211/108211	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:11%20GMT	https://www.train-motion.com/shop/page/7/?filter_operator=cd&filter_traincar-type=compartiment	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/7/index5ad1.html	(from https://www.train-motion.com/shop/page/4/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:17	108352/108352	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2010:31:13%20GMT	https://www.train-motion.com/shop/page/9/?filter_operator=cd&filter_traincar-type=compartiment&add-to-cart=23728	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/9/index7d6c.html	(from https://www.train-motion.com/shop/page/9/?filter_operator=cd&filter_traincar-type=compartiment)
12:31:19	2/2	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jul%202020%2010:30:17%20GMT	https://www.train-motion.com/shop/page/1/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz	D:/rgiov/website/TrainSimItalia/www.train-motion.com/shop/page/1/index0990.html	(from https://www.train-motion.com/shop/page/2/?filter_operator=cd&filter_manufacturer=bautzen-gorlitz)
